131028,大厂回族自治县,1310,2
131081,霸州市,1310,2
131082,三河市,1310,2
1311,衡水市,13,1
131101,市辖区,1311,2
131102,桃城区,1311,2
131121,枣强县,1311,2
131122,武邑县,1311,2
131123,武强县,1311,2
131124,饶阳县,1311,2
131125,安平县,1311,2
131126,故城县,1311,2
131127,景县,1311,2
131128,阜城县,1311,2
131181,冀州市,1311,2
131182,深州市,1311,2
14,山西,,0
1401,太原市,14,1
140101,市辖区,1401,2
140105,小店区,1401,2
140106,迎泽区,1401,2
140107,杏花岭区,1401,2
140108,尖草坪区,1401,2
140109,万柏林区,1401,2
140110,晋源区,1401,2
140121,清徐县,1401,2
140122,阳曲县,1401,2
140123,娄烦县,1401,2
140181,古交市,1401,2
1402,大同市,14,1
140201,市辖区,1402,2
140202,城区,1402,2
140203,矿区,1402,2
140211,南郊区,1402,2
140212,新荣区,1402,2
140221,阳高县,1402,2
140222,天镇县,1402,2
140223,广灵县,1402,2
140224,灵丘县,1402,2
140225,浑源县,1402,2
140226,左云县,1402,2
140227,大同县,1402,2
1403,阳泉市,14,1
140301,市辖区,1403,2
140302,城区,1403,2
140303,矿区,1403,2
140311,郊区,1403,2
140321,平定县,1403,2
140322,盂县,1403,2
1404,长治市,14,1
140401,市辖区,1404,2
140402,城区,1404,2
140411,郊区,1404,2
140421,长治县,1404,2
140423,襄垣县,1404,2
140424,屯留县,1404,2
140425,平顺县,1404,2
140426,黎城县,1404,2
140427,壶关县,1404,2
140428,长子县,1404,2
140429,武乡县,1404,2
140430,沁县,1404,2
140431,沁源县,1404,2
140481,潞城市,1404,2
1405,晋城市,14,1
140501,市辖区,1405,2
140502,城区,1405,2
140521,沁水县,1405,2
140522,阳城县,1405,2
140524,陵川县,1405,2
140525,泽州县,1405,2
140581,高平市,1405,2
1406,朔州市,14,1
140601,市辖区,1406,2
140602,朔城区,1406,2
140603,平鲁区,1406,2
140621,山阴县,1406,2
140622,应县,1406,2
140623,右玉县,1406,2
140624,怀仁县,1406,2
1407,晋中市,14,1
140701,市辖区,1407,2
140702,榆次区,1407,2
140721,榆社县,1407,2
140722,左权县,1407,2
140723,和顺县,1407,2
140724,昔阳县,1407,2
140725,寿阳县,1407,2
140726,太谷县,1407,2
140727,祁县,1407,2
140728,平遥县,1407,2
140729,灵石县,1407,2
140781,介休市,1407,2
1408,运城市,14,1
140801,市辖区,1408,2
140802,盐湖区,1408,2
140821,临猗县,1408,2
140822,万荣县,1408,2
140823,闻喜县,1408,2
140824,稷山县,1408,2
140825,新绛县,1408,2
140826,绛县,1408,2
140827,垣曲县,1408,2
140828,夏县,1408,2
140829,平陆县,1408,2
140830,芮城县,1408,2
140881,永济市,1408,2
140882,河津市,1408,2
1409,忻州市,14,1
140901,市辖区,1409,2
140902,忻府区,1409,2
140921,定襄县,1409,2
140922,五台县,1409,2
140923,代县,1409,2
140924,繁峙县,1409,2
140925,宁武县,1409,2
140926,静乐县,1409,2
140927,神池县,1409,2
140928,五寨县,1409,2
140929,岢岚县,1409,2
140930,河曲县,1409,2
140931,保德县,1409,2
140932,偏关县,1409,2
140981,原平市,1409,2
1410,临汾市,14,1
141001,市辖区,1410,2
141002,尧都区,1410,2
141021,曲沃县,1410,2
141022,翼城县,1410,2
141023,襄汾县,1410,2
141024,洪洞县,1410,2
141025,古县,1410,2
141026,安泽县,1410,2
141027,浮山县,1410,2
141028,吉县,1410,2
141029,乡宁县,1410,2
141030,大宁县,1410,2
141031,隰县,1410,2
141032,永和县,1410,2
141033,蒲县,1410,2
141034,汾西县,1410,2
141081,侯马市,1410,2
141082,霍州市,1410,2
1411,吕梁市,14,1
141101,市辖区,1411,2
141102,离石区,1411,2
141121,文水县,1411,2
141122,交城县,1411,2
141123,兴县,1411,2
141124,临县,1411,2
141125,柳林县,1411,2
141126,石楼县,1411,2
141127,岚县,1411,2
141128,方山县,1411,2
141129,中阳县,1411,2
141130,交口县,1411,2
141181,孝义市,1411,2
141182,汾阳市,1411,2
15,内蒙古,,0
1501,呼和浩特市,15,1
150101,市辖区,1501,2
150102,新城区,1501,2
150103,回民区,1501,2
150104,玉泉区,1501,2
150105,赛罕区,1501,2
150121,土默特左旗,1501,2
150122,托克托县,1501,2
150123,和林格尔县,1501,2
150124,清水河县,1501,2
150125,武川县,1501,2
1502,包头市,15,1
150201,市辖区,1502,2
150202,东河区,1502,2
150203,昆都仑区,1502,2
150204,青山区,1502,2
150205,石拐区,1502,2
150206,白云鄂博矿区,1502,2
150207,九原区,1502,2
150221,土默特右旗,1502,2
150222,固阳县,1502,2
150223,达尔罕茂明安联合旗,1502,2
1503,乌海市,15,1
150301,市辖区,1503,2
150302,海勃湾区,1503,2
150303,海南区,1503,2
150304,乌达区,1503,2
1504,赤峰市,15,1
150401,市辖区,1504,2
150402,红山区,1504,2
150403,元宝山区,1504,2
150404,松山区,1504,2
150421,阿鲁科尔沁旗,1504,2
150422,巴林左旗,1504,2
150423,巴林右旗,1504,2
150424,林西县,1504,2
150425,克什克腾旗,1504,2
150426,翁牛特旗,1504,2
150428,喀喇沁旗,1504,2
150429,宁城县,1504,2
150430,敖汉旗,1504,2
1505,通辽市,15,1
150501,市辖区,1505,2
150502,科尔沁区,1505,2
150521,科尔沁左翼中旗,1505,2
150522,科尔沁左翼后旗,1505,2
150523,开鲁县,1505,2
150524,库伦旗,1505,2
150525,奈曼旗,1505,2
150526,扎鲁特旗,1505,2
150581,霍林郭勒市,1505,2
1506,鄂尔多斯市,15,1
150601,市辖区,1506,2
150602,东胜区,1506,2
150621,达拉特旗,1506,2
150622,准格尔旗,1506,2
150623,鄂托克前旗,1506,2
150624,鄂托克旗,1506,2
150625,杭锦旗,1506,2
150626,乌审旗,1506,2
150627,伊金霍洛旗,1506,2
1507,呼伦贝尔市,15,1
150701,市辖区,1507,2
150702,海拉尔区,1507,2
150721,阿荣旗,1507,2
150722,莫力达瓦达斡尔族自治旗,1507,2
150723,鄂伦春自治旗,1507,2
150724,鄂温克族自治旗,1507,2
150725,陈巴尔虎旗,1507,2
150726,新巴尔虎左旗,1507,2
150727,新巴尔虎右旗,1507,2
150781,满洲里市,1507,2
150782,牙克石市,1507,2
150783,扎兰屯市,1507,2
150784,额尔古纳市,1507,2
150785,根河市,1507,2
1508,巴彦淖尔市,15,1
150801,市辖区,1508,2
150802,临河区,1508,2
150821,五原县,1508,2
150822,磴口县,1508,2
150823,乌拉特前旗,1508,2
150824,乌拉特中旗,1508,2
150825,乌拉特后旗,1508,2
150826,杭锦后旗,1508,2
1509,乌兰察布市,15,1
150901,市辖区,1509,2
150902,集宁区,1509,2
150921,卓资县,1509,2
150922,化德县,1509,2
150923,商都县,1509,2
150924,兴和县,1509,2
150925,凉城县,1509,2
150926,察哈尔右翼前旗,1509,2
150927,察哈尔右翼中旗,1509,2
150928,察哈尔右翼后旗,1509,2
150929,四子王旗,1509,2
150981,丰镇市,1509,2
1522,兴安盟,15,1
152201,乌兰浩特市,1522,2
152202,阿尔山市,1522,2
152221,科尔沁右翼前旗,1522,2
152222,科尔沁右翼中旗,1522,2
152223,扎赉特旗,1522,2
152224,突泉县,1522,2
1525,锡林郭勒盟,15,1
152501,二连浩特市,1525,2
152502,锡林浩特市,1525,2
152522,阿巴嘎旗,1525,2
152523,苏尼特左旗,1525,2
152524,苏尼特右旗,1525,2
152525,东乌珠穆沁旗,1525,2
152526,西乌珠穆沁旗,1525,2
152527,太仆寺旗,1525,2
152528,镶黄旗,1525,2
152529,正镶白旗,1525,2
152530,正蓝旗,1525,2
152531,多伦县,1525,2
1529,阿拉善盟,15,1
152921,阿拉善左旗,1529,2
152922,阿拉善右旗,1529,2
152923,额济纳旗,1529,2
21,辽宁,,0
2101,沈阳市,21,1
210101,市辖区,2101,2
210102,和平区,2101,2
210103,沈河区,2101,2
210104,大东区,2101,2
210105,皇姑区,2101,2
210106,铁西区,2101,2
210111,苏家屯区,2101,2
210112,东陵区,2101,2
210113,沈北新区,2101,2
210114,于洪区,2101,2
210122,辽中县,2101,2
210123,康平县,2101,2
210124,法库县,2101,2
210181,新民市,2101,2
2102,大连市,21,1
